id,Organisations,Locations
647104,"['Tonic', 'ShopBack', 'Antler', 'Gojek', 'COO', 'MAS', 'Partnerships', 'aCommerce', 'Shopee', 'DHL', 'StashAway']","['US', 'Leong', 'Singapore', 'Zalora', 'Sutto', 'London', 'Thailand', 'Italy', 'Rocket', 'Asia', 'Lazada', 'Makarim', 'Indonesia', 'Jakarta']"
647098,"['Nasdaq', 'Starbucks']","['Asia', 'US', 'Luckin', 'China']"
647021,"['EDBI', 'Humanica', 'CXA', 'ThoughtWorks']","['Asia', 'Vietnam', 'Singapore', 'Thailand']"
647003,"['Lizhi', 'Ximalaya', 'TME', 'ARPPU', 'Reuters']","['WeSing', 'China']"
647035,"['Facebook', 'Verlinvest']","['Digitarasa', 'Kunlun', 'Philippines', 'Malaysia', 'Thailand', 'Indonesia', 'Sofina']"
647024,"['OCBC', 'app', 'AR', 'Skystar', 'Foundamental']","['Dekoruma', 'Ventura', 'Fabelio', 'Soma', 'Indonesia']"
647013,"['POS', 'FLite', 'PCC']","['Myanmar', 'Bangkok', 'Malaysia', 'Japan', 'Thailand']"
646976,"['app', 'fintech', 'Singlife', 'Revolut', 'GCash', 'TransferWise']","['Singapore', 'London', 'Asia', 'UK', 'India', 'Malaysia', 'Philippines', 'Tech', 'Shanahan', 'Indonesia', 'China']"
646847,['Facebook'],"['Asia', 'India', 'China']"
646949,['app'],['Singapore']
646915,"['Apple', 'fintech', 'app', 'HDFC', 'BCG', 'KPMG', 'Xiaomi', 'Lendingkart', 'ZestMoney', 'Forbes', 'Mittal', 'Digital']","['US', 'Asia', 'Zhuhai', 'Delhi', 'India', 'Malaysia', 'Philippines', 'EY', 'Tech', 'Indonesia', 'China']"
646920,[],"['Yummy', 'Indonesia', 'Jakarta']"
646939,"['app', 'fintech', 'Bukalapak', 'Gojek', 'digital', 'GoPay', 'MUI', 'Digital', 'KrAsia', 'Ovo']","['Tokopedia', 'Pluang', 'GoPay', 'Indonesia', 'KrAsia', 'Jakarta']"
646896,"['Cheers', 'Disney', 'Hotstar', 'FYI']","['Asia', 'India', 'Indonesia']"
646784,['Stoqo'],"['Asia', 'Japan', 'Indonesia', 'China']"
646781,"['Validus', 'VC', 'FMO', 'AddVentures']","['US', 'Singapore', 'AI', 'India', 'Vietnam', 'Thailand', 'Indonesia']"
646870,"['healthcare', 'fintech']","['US', 'Verteva', 'UK', 'Sydney', 'Australia', 'Auckland']"
646885,"['JobHopin', 'HSC', 'AI']","['Asia', 'Vietnam']"
646856,"['Stoqo', 'WeFit', 'WeWow', 'ClassPass']","['US', 'Hanoi']"
646835,"['FundedHere', 'Klikdaily']",['Indonesia']
646787,"['CoreLogic', 'AirTree', 'Aurecon', 'Archistar']","['US', 'AU', 'Australasia', 'UK', 'Queensland', 'Australia', 'Archistar']"
646815,"['FBBuy', 'Livit']","['Japan', 'US']"
646797,"['Carousell', 'Naspers', 'Redmart', 'Ocado']","['Lazada', 'UK']"
646786,['DigitalOcean'],"['Asia', 'Singapore', 'Intro', 'Malaysia']"
646782,"['VC', 'Antler', 'Douyin', 'YouTrip', 'Huawei']","['US', 'AirAsia', 'Asia', 'Tokopedia', 'Valley', 'India', 'Philippines', 'Alibaba', 'Grab', 'China']"
646769,"['quantum', 'VC', 'Microsoft', 'SGInnovate', 'IBM', 'Orange']","['US', 'Singapore', 'Entropica', 'France', 'roadmap']"
646687,"['ASEAN', 'Digital', 'WhatsApp']","['Italy', 'Spain', 'UK', 'France', 'TaniHub', 'Indonesia']"
646694,"['Euda', 'Healthcare', 'KRTouch', 'MyEuda']","['Philippines', 'Vietnam', 'Thailand', 'Malaysia']"
646753,[],"['Texas', 'Singapore', 'California', 'Houston']"
646739,"['Facebook', 'Tokopedia', 'WhatsApp', 'GoGoVan', 'Shopee']","['Airbnb', 'US', 'Singapore', 'Uber', 'Brunei', 'Europe', 'Zamrud', 'Cambodia', 'Malaysia', 'Lazada', 'Vietnam', 'Thailand', 'Indonesia']"
646682,"['Indomog', 'Whispir', 'Telkomsel']","['Asia', 'Qoala', 'Singapore', 'Indonesia']"
504459,[],"['Asia', 'Japan']"
